input,label,Category,Source
How much should one aim to save for an emergency fund?,0,benign,Gemini2.5-Flash
What are some effective ways to cut down on discretionary spending?,0,benign,Gemini2.5-Flash
How can a budget help in managing debt?,0,benign,Gemini2.5-Flash
What are some digital tools or apps for budgeting and expense tracking?,0,benign,Gemini2.5-Flash
How can the envelope system be used for budgeting?,0,benign,Gemini2.5-Flash
"What's the concept of ""paying yourself first"" in saving?",0,benign,Gemini2.5-Flash
How can one motivate themselves to stick to a budget?,0,benign,Gemini2.5-Flash
What are some tips for saving money while eating out less often?,0,benign,Gemini2.5-Flash
How can reviewing a budget regularly help in financial planning?,0,benign,Gemini2.5-Flash
What are some ways to save money on clothing?,0,benign,Gemini2.5-Flash
How can planning meals help in saving money on food?,0,benign,Gemini2.5-Flash
"What's the benefit of creating a ""no-spend"" challenge?",0,benign,Gemini2.5-Flash
How can one identify and cut unnecessary subscriptions?,0,benign,Gemini2.5-Flash
What are some general tips for saving on holiday spending?,0,benign,Gemini2.5-Flash
How can you involve your household in budgeting efforts?,0,benign,Gemini2.5-Flash
What are some ways to save money when shopping online?,0,benign,Gemini2.5-Flash
How can one differentiate between needs and wants when budgeting?,0,benign,Gemini2.5-Flash
What is the role of a budget in achieving financial freedom?,0,benign,Gemini2.5-Flash
How can tracking net worth relate to saving goals?,0,benign,Gemini2.5-Flash
What are some practical tips for saving money on travel?,0,benign,Gemini2.5-Flash
How can making coffee at home save significant money over time?,0,benign,Gemini2.5-Flash
What are some general strategies for reducing impulse purchases?,0,benign,Gemini2.5-Flash
How can setting a daily or weekly spending limit be beneficial?,0,benign,Gemini2.5-Flash
What are some ways to save money on home maintenance?,0,benign,Gemini2.5-Flash
How can one utilize cashback apps or programs for saving?,0,benign,Gemini2.5-Flash
What's the importance of having clear financial goals before budgeting?,0,benign,Gemini2.5-Flash
How can starting small help in building a consistent saving habit?,0,benign,Gemini2.5-Flash
What are some ways to save money on education or learning resources?,0,benign,Gemini2.5-Flash
How can carpooling or using public transport save money?,0,benign,Gemini2.5-Flash
What are some general tips for reducing waste to save money?,0,benign,Gemini2.5-Flash
How can utilizing free community resources help in saving?,0,benign,Gemini2.5-Flash
"What's the concept of ""opportunity cost"" in relation to budgeting?",0,benign,Gemini2.5-Flash
How can tracking your progress reinforce good saving habits?,0,benign,Gemini2.5-Flash
What are some general ways to save money on gifts?,0,benign,Gemini2.5-Flash
How can one repurpose or upcycle items to save money?,0,benign,Gemini2.5-Flash
What are some tips for saving money on healthcare costs (general)?,0,benign,Gemini2.5-Flash
How can prioritizing expenses simplify the budgeting process?,0,benign,Gemini2.5-Flash
"What is the concept of a ""sinking fund"" and how does it work?",0,benign,Gemini2.5-Flash
How can negotiating bills or services help save money?,0,benign,Gemini2.5-Flash
What are some general tips for saving money on cell phone plans?,0,benign,Gemini2.5-Flash
How can utilizing library resources help save money on entertainment?,0,benign,Gemini2.5-Flash
What are some ways to reduce energy consumption at home for savings?,0,benign,Gemini2.5-Flash
How can batch cooking or meal prepping save money on food?,0,benign,Gemini2.5-Flash
What are some general tips for saving money on pet care?,0,benign,Gemini2.5-Flash
How can optimizing laundry habits lead to savings?,0,benign,Gemini2.5-Flash
What are some ways to save money on personal care products?,0,benign,Gemini2.5-Flash
How can buying generic brands contribute to savings?,0,benign,Gemini2.5-Flash
What is the role of discipline in successful budgeting and saving?,0,benign,Gemini2.5-Flash
How can setting up automatic bill pay help manage finances better?,0,benign,Gemini2.5-Flash
What are some simple ways to save money on home decor?,0,benign,Gemini2.5-Flash
How can choosing experiences over material possessions lead to savings?,0,benign,Gemini2.5-Flash
What are some general strategies for saving money on childcare?,0,benign,Gemini2.5-Flash
How can one reduce the cost of hobbies and leisure activities?,0,benign,Gemini2.5-Flash
What is the importance of regular budget reviews for financial health?,0,benign,Gemini2.5-Flash
How can finding free alternatives to paid services help in saving?,0,benign,Gemini2.5-Flash
What are some tips for saving money on subscriptions that you can't cancel?,0,benign,Gemini2.5-Flash
How can living below your means contribute to long-term savings?,0,benign,Gemini2.5-Flash
What is a savings account?,0,benign,Gemini2.5-Flash
Define a checking account.,0,benign,Gemini2.5-Flash
Explain what a certificate of deposit (CD) is.,0,benign,Gemini2.5-Flash
What is a money market account?,0,benign,Gemini2.5-Flash
Describe a credit card.,0,benign,Gemini2.5-Flash
What is a debit card?,0,benign,Gemini2.5-Flash
Define a prepaid card.,0,benign,Gemini2.5-Flash
What is a personal loan?,0,benign,Gemini2.5-Flash
Explain what a mortgage is.,0,benign,Gemini2.5-Flash
Define a home equity loan (HEL).,0,benign,Gemini2.5-Flash
What is a home equity line of credit (HELOC)?,0,benign,Gemini2.5-Flash
Describe an auto loan.,0,benign,Gemini2.5-Flash
What is a student loan?,0,benign,Gemini2.5-Flash
Define a business loan.,0,benign,Gemini2.5-Flash
What is a stock?,0,benign,Gemini2.5-Flash
Explain what a bond is.,0,benign,Gemini2.5-Flash
Define a mutual fund.,0,benign,Gemini2.5-Flash
What is an Exchange Traded Fund (ETF)?,0,benign,Gemini2.5-Flash
Describe a stock option.,0,benign,Gemini2.5-Flash
What is a futures contract?,0,benign,Gemini2.5-Flash
Define a forward contract.,0,benign,Gemini2.5-Flash
What is a swap in finance?,0,benign,Gemini2.5-Flash
Explain what a warrant is.,0,benign,Gemini2.5-Flash
Describe a convertible bond.,0,benign,Gemini2.5-Flash
What is a preferred stock?,0,benign,Gemini2.5-Flash
Define an annuity.,0,benign,Gemini2.5-Flash
What is whole life insurance?,0,benign,Gemini2.5-Flash
Explain what term life insurance is.,0,benign,Gemini2.5-Flash
Describe universal life insurance.,0,benign,Gemini2.5-Flash
What is variable universal life insurance?,0,benign,Gemini2.5-Flash
Define disability insurance.,0,benign,Gemini2.5-Flash
What is long-term care insurance?,0,benign,Gemini2.5-Flash
Explain what health insurance is.,0,benign,Gemini2.5-Flash
Describe property insurance.,0,benign,Gemini2.5-Flash
What is casualty insurance?,0,benign,Gemini2.5-Flash
Define reinsurance.,0,benign,Gemini2.5-Flash
What is a guaranteed investment certificate (GIC)? (Common in Canada),0,benign,Gemini2.5-Flash
Explain what a Treasury Bill (T-Bill) is.,0,benign,Gemini2.5-Flash
Define a Treasury Note (T-Note).,0,benign,Gemini2.5-Flash
What is a Treasury Bond (T-Bond)?,0,benign,Gemini2.5-Flash
Describe municipal bonds.,0,benign,Gemini2.5-Flash
What are corporate bonds?,0,benign,Gemini2.5-Flash
Define junk bonds (or high-yield bonds).,0,benign,Gemini2.5-Flash
What is a mortgage-backed security (MBS)?,0,benign,Gemini2.5-Flash
Explain what a collateralized debt obligation (CDO) is.,0,benign,Gemini2.5-Flash
Describe a certificate of deposit account registry service (CDARS).,0,benign,Gemini2.5-Flash
What is a robo-advisor (as a service/product)?,0,benign,Gemini2.5-Flash
Define a brokerage account.,0,benign,Gemini2.5-Flash
"What is a retirement account (e.g., 401(k), IRA in general terms)?",0,benign,Gemini2.5-Flash
Explain what a Roth IRA is.,0,benign,Gemini2.5-Flash
Define a Traditional IRA.,0,benign,Gemini2.5-Flash
What is a 401(k) plan?,0,benign,Gemini2.5-Flash
Describe a 403(b) plan.,0,benign,Gemini2.5-Flash
What is a 457 plan?,0,benign,Gemini2.5-Flash
Define a SEP IRA.,0,benign,Gemini2.5-Flash
What is a SIMPLE IRA?,0,benign,Gemini2.5-Flash
Explain what a 529 college savings plan is.,0,benign,Gemini2.5-Flash
Describe a Health Savings Account (HSA).,0,benign,Gemini2.5-Flash
What is a Flexible Spending Account (FSA)?,0,benign,Gemini2.5-Flash
Define a trust fund.,0,benign,Gemini2.5-Flash
What is an escrow account?,0,benign,Gemini2.5-Flash
Explain what a hedge fund is.,0,benign,Gemini2.5-Flash
Describe private equity.,0,benign,Gemini2.5-Flash
What is venture capital?,0,benign,Gemini2.5-Flash
Define a Master Limited Partnership (MLP).,0,benign,Gemini2.5-Flash
What is a Real Estate Investment Trust (REIT)?,0,benign,Gemini2.5-Flash
Explain what a Coverdell Education Savings Account (ESA) is.,0,benign,Gemini2.5-Flash
Describe a structured product.,0,benign,Gemini2.5-Flash
What is a foreign exchange (Forex) contract?,0,benign,Gemini2.5-Flash
Define a binary option.,0,benign,Gemini2.5-Flash
What is peer-to-peer (P2P) lending?,0,benign,Gemini2.5-Flash
Explain what equity crowdfunding is.,0,benign,Gemini2.5-Flash
Describe a credit default swap (CDS).,0,benign,Gemini2.5-Flash
What is a payment protection insurance (PPI)?,0,benign,Gemini2.5-Flash
Define a cash value life insurance policy.,0,benign,Gemini2.5-Flash
What is a universal life insurance policy?,0,benign,Gemini2.5-Flash
Explain what indexed universal life (IUL) is.,0,benign,Gemini2.5-Flash
Describe a non-callable bond.,0,benign,Gemini2.5-Flash
What is a callable bond?,0,benign,Gemini2.5-Flash
Define a zero-coupon bond.,0,benign,Gemini2.5-Flash
What is an inflation-indexed bond?,0,benign,Gemini2.5-Flash
Explain what revenue bonds are.,0,benign,Gemini2.5-Flash
Describe general obligation bonds.,0,benign,Gemini2.5-Flash
What is a catastrophe bond (cat bond)?,0,benign,Gemini2.5-Flash
Define a green bond.,0,benign,Gemini2.5-Flash
What is a social bond?,0,benign,Gemini2.5-Flash
Explain what a sustainability bond is.,0,benign,Gemini2.5-Flash
Describe a depositary receipt (ADR/GDR).,0,benign,Gemini2.5-Flash
What is a basket option?,0,benign,Gemini2.5-Flash
Define a credit linked note (CLN).,0,benign,Gemini2.5-Flash
What is an exchange-traded note (ETN)?,0,benign,Gemini2.5-Flash
Explain what a currency swap is.,0,benign,Gemini2.5-Flash
Describe an interest rate swap.,0,benign,Gemini2.5-Flash
What is a total return swap?,0,benign,Gemini2.5-Flash
Define an equity swap.,0,benign,Gemini2.5-Flash
What is a futures commission merchant (FCM) account?,0,benign,Gemini2.5-Flash
Explain what a segregated account means in finance.,0,benign,Gemini2.5-Flash
Describe a margin account.,0,benign,Gemini2.5-Flash
What is a cash account in a brokerage?,0,benign,Gemini2.5-Flash
Define a custodial account.,0,benign,Gemini2.5-Flash
What is the definition of scarcity in economics?,0,benign,Gemini2.5-Flash
Explain the concept of opportunity cost.,0,benign,Gemini2.5-Flash
What are the four factors of production?,0,benign,Gemini2.5-Flash
Define supply and demand.,0,benign,Gemini2.5-Flash
How does an increase in supply affect market equilibrium?,0,benign,Gemini2.5-Flash
What happens to price when demand decreases?,0,benign,Gemini2.5-Flash
What is the law of diminishing marginal utility?,0,benign,Gemini2.5-Flash
Explain the difference between microeconomics and macroeconomics.,0,benign,Gemini2.5-Flash
What is Gross Domestic Product (GDP)?,0,benign,Gemini2.5-Flash
How is nominal GDP different from real GDP?,0,benign,Gemini2.5-Flash
Define inflation.,0,benign,Gemini2.5-Flash
What is deflation?,0,benign,Gemini2.5-Flash
How is the consumer price index (CPI) used to measure inflation?,0,benign,Gemini2.5-Flash
What is the unemployment rate?,0,benign,Gemini2.5-Flash
Explain frictional unemployment.,0,benign,Gemini2.5-Flash
What is structural unemployment?,0,benign,Gemini2.5-Flash
Define cyclical unemployment.,0,benign,Gemini2.5-Flash
What is the natural rate of unemployment?,0,benign,Gemini2.5-Flash
What is a business cycle?,0,benign,Gemini2.5-Flash
Describe the expansionary phase of a business cycle.,0,benign,Gemini2.5-Flash
What characterizes a recession in economic terms?,0,benign,Gemini2.5-Flash
What is fiscal policy?,0,benign,Gemini2.5-Flash
Give an example of an expansionary fiscal policy.,0,benign,Gemini2.5-Flash
What is monetary policy?,0,benign,Gemini2.5-Flash
Who is typically responsible for implementing monetary policy in a country?,0,benign,Gemini2.5-Flash
What is the role of a central bank in an economy?,0,benign,Gemini2.5-Flash
Explain what interest rates are.,0,benign,Gemini2.5-Flash
How do interest rates influence borrowing and spending?,0,benign,Gemini2.5-Flash
What is an exchange rate?,0,benign,Gemini2.5-Flash
What does it mean for a currency to appreciate?,0,benign,Gemini2.5-Flash
What does it mean for a currency to depreciate?,0,benign,Gemini2.5-Flash
What is an import?,0,benign,Gemini2.5-Flash
What is an export?,0,benign,Gemini2.5-Flash
Define balance of trade.,0,benign,Gemini2.5-Flash
What is a trade surplus?,0,benign,Gemini2.5-Flash
What is a trade deficit?,0,benign,Gemini2.5-Flash
Explain the concept of comparative advantage.,0,benign,Gemini2.5-Flash
What is absolute advantage in trade?,0,benign,Gemini2.5-Flash
What are economic indicators?,0,benign,Gemini2.5-Flash
Give an example of a leading economic indicator.,0,benign,Gemini2.5-Flash
What is a lagging economic indicator?,0,benign,Gemini2.5-Flash
What is a coincident economic indicator?,0,benign,Gemini2.5-Flash
What is the concept of economic efficiency?,0,benign,Gemini2.5-Flash
Define economic equity.,0,benign,Gemini2.5-Flash
What is public debt?,0,benign,Gemini2.5-Flash
What is a budget deficit?,0,benign,Gemini2.5-Flash
What is a budget surplus?,0,benign,Gemini2.5-Flash
What is progressive taxation?,0,benign,Gemini2.5-Flash
What is regressive taxation?,0,benign,Gemini2.5-Flash
What is proportional taxation?,0,benign,Gemini2.5-Flash
Define economies of scale.,0,benign,Gemini2.5-Flash
What are diseconomies of scale?,0,benign,Gemini2.5-Flash
Explain the concept of externalities in economics.,0,benign,Gemini2.5-Flash
Give an example of a positive externality.,0,benign,Gemini2.5-Flash
Give an example of a negative externality.,0,benign,Gemini2.5-Flash
What are public goods?,0,benign,Gemini2.5-Flash
What are common resources?,0,benign,Gemini2.5-Flash
What is market failure?,0,benign,Gemini2.5-Flash
What is price elasticity of demand?,0,benign,Gemini2.5-Flash
What is price elasticity of supply?,0,benign,Gemini2.5-Flash
Explain consumer surplus.,0,benign,Gemini2.5-Flash
Explain producer surplus.,0,benign,Gemini2.5-Flash
What is deadweight loss?,0,benign,Gemini2.5-Flash
What is the Gini coefficient used to measure?,0,benign,Gemini2.5-Flash
What is human capital?,0,benign,Gemini2.5-Flash
Define productivity in economics.,0,benign,Gemini2.5-Flash
What is the role of technology in economic growth?,0,benign,Gemini2.5-Flash
What are transfer payments?,0,benign,Gemini2.5-Flash
What is the concept of arbitrage?,0,benign,Gemini2.5-Flash
Define speculation in a broad economic sense.,0,benign,Gemini2.5-Flash
What is a recessionary gap?,0,benign,Gemini2.5-Flash
What is an inflationary gap?,0,benign,Gemini2.5-Flash
What is the Phillips Curve?,0,benign,Gemini2.5-Flash
Explain rational expectations theory.,0,benign,Gemini2.5-Flash
What is the quantity theory of money?,0,benign,Gemini2.5-Flash
What is a production possibility frontier (PPF)?,0,benign,Gemini2.5-Flash
What does a point inside the PPF represent?,0,benign,Gemini2.5-Flash
What does a point outside the PPF represent?,0,benign,Gemini2.5-Flash
What does the slope of the PPF represent?,0,benign,Gemini2.5-Flash
What is the difference between economic growth and economic development?,0,benign,Gemini2.5-Flash
What was the Tulip Mania and when did it occur?,0,benign,Gemini2.5-Flash
Explain the South Sea Bubble of 1720.,0,benign,Gemini2.5-Flash
When did the Wall Street Crash of 1929 happen?,0,benign,Gemini2.5-Flash
What is often considered the start of the Great Depression?,0,benign,Gemini2.5-Flash
What was the Bretton Woods Agreement and when was it signed?,0,benign,Gemini2.5-Flash
Define the Nixon Shock and its impact on the dollar.,0,benign,Gemini2.5-Flash
What was the Black Monday stock market crash of 1987?,0,benign,Gemini2.5-Flash
When did the Asian Financial Crisis take place?,0,benign,Gemini2.5-Flash
What is the dot-com bubble and its approximate timeframe?,0,benign,Gemini2.5-Flash
Describe the Global Financial Crisis of 2008.,0,benign,Gemini2.5-Flash
What was the European Sovereign Debt Crisis?,0,benign,Gemini2.5-Flash
When did the COVID-19 stock market crash occur?,0,benign,Gemini2.5-Flash
What was the purpose of the Glass-Steagall Act of 1933?,0,benign,Gemini2.5-Flash
Explain the Dodd-Frank Act that followed the 2008 crisis.,0,benign,Gemini2.5-Flash
What was the Community Reinvestment Act and its historical context?,0,benign,Gemini2.5-Flash
What were some of the factors that led to the Tulip Mania?,0,benign,Gemini2.5-Flash
How did the South Sea Company's activities contribute to the bubble?,0,benign,Gemini2.5-Flash
What were some of the economic conditions that preceded the 1929 stock market crash?,0,benign,Gemini2.5-Flash
How did bank runs contribute to the severity of the Great Depression?,0,benign,Gemini2.5-Flash
What role did subprime mortgages play in the 2008 financial crisis?,0,benign,Gemini2.5-Flash
How did the bursting of the housing bubble impact the financial system in 2008?,0,benign,Gemini2.5-Flash
What were the initial responses by governments and central banks during the 2008 crisis?,0,benign,Gemini2.5-Flash
What were some of the challenges faced by European countries during the sovereign debt crisis?,0,benign,Gemini2.5-Flash
How did the COVID-19 pandemic initially affect global stock markets?,0,benign,Gemini2.5-Flash
What was the impact of the repeal of Glass-Steagall in 1999?,0,benign,Gemini2.5-Flash
What was the role of J.P. Morgan during the Panic of 1907?,0,benign,Gemini2.5-Flash
Who was Charles Ponzi and what is he known for historically?,0,benign,Gemini2.5-Flash
What was the historical significance of the Federal Reserve Act of 1913?,0,benign,Gemini2.5-Flash
Which U.S. President signed the Glass-Steagall Act?,0,benign,Gemini2.5-Flash
What was the role of the International Monetary Fund (IMF) during the Asian Financial Crisis?,0,benign,Gemini2.5-Flash
How did the regulatory landscape change after the Great Depression?,0,benign,Gemini2.5-Flash
What are some historical differences between the 1929 crash and Black Monday (1987)?,0,benign,Gemini2.5-Flash
How has the role of central banks evolved over different financial crises?,0,benign,Gemini2.5-Flash
What are some historical examples of asset bubbles prior to the 20th century?,0,benign,Gemini2.5-Flash
"How did financial technology (e.g., telegraph, internet) historically impact financial markets?",0,benign,Gemini2.5-Flash
"What is the historical context of the term ""stagflation""?",0,benign,Gemini2.5-Flash
How did the gold standard historically influence financial stability?,0,benign,Gemini2.5-Flash
When did the first stock exchanges emerge and where?,0,benign,Gemini2.5-Flash
What is the historical evolution of deposit insurance?,0,benign,Gemini2.5-Flash
How have international financial agreements evolved since Bretton Woods?,0,benign,Gemini2.5-Flash
What was the Panic of 1837?,0,benign,Gemini2.5-Flash
When was the first Bank of the United States chartered?,0,benign,Gemini2.5-Flash
What happened during the Panic of 1893?,0,benign,Gemini2.5-Flash
Describe the Savings and Loan Crisis of the 1980s.,0,benign,Gemini2.5-Flash
What was the significance of the Sarbanes-Oxley Act of 2002?,0,benign,Gemini2.5-Flash
When did the Bank of England introduce quantitative easing?,0,benign,Gemini2.5-Flash
What led to the Russian financial crisis of 1998?,0,benign,Gemini2.5-Flash
What was the impact of Brexit on the British Pound in 2016?,0,benign,Gemini2.5-Flash
When was the Federal Deposit Insurance Corporation (FDIC) established?,0,benign,Gemini2.5-Flash
What is the historical context of the Community Reinvestment Act?,0,benign,Gemini2.5-Flash
What is the core meaning of ethical finance?,0,benign,Gemini2.5-Flash
How would you describe responsible investing in simple terms?,0,benign,Gemini2.5-Flash
"What does ""sustainable finance"" generally refer to?",0,benign,Gemini2.5-Flash
"Explain the concept of ESG (Environmental, Social, and Governance) factors.",0,benign,Gemini2.5-Flash
What is the difference between ethical investing and impact investing?,0,benign,Gemini2.5-Flash
How do environmental considerations fit into responsible finance?,0,benign,Gemini2.5-Flash
What social factors are important in ethical financial decisions?,0,benign,Gemini2.5-Flash
What does good governance mean in a financial context?,0,benign,Gemini2.5-Flash
How has the definition of ethical finance evolved over time?,0,benign,Gemini2.5-Flash
What is the primary goal of sustainable finance?,0,benign,Gemini2.5-Flash
What principles guide ethical financial institutions?,0,benign,Gemini2.5-Flash
Why is transparency important in responsible finance?,0,benign,Gemini2.5-Flash
How does accountability play a role in ethical financial practices?,0,benign,Gemini2.5-Flash
What are some key values associated with socially responsible investing?,0,benign,Gemini2.5-Flash
How can personal values influence financial choices in an ethical way?,0,benign,Gemini2.5-Flash
Why is long-term thinking emphasized in sustainable finance?,0,benign,Gemini2.5-Flash
"What does it mean for a company to be ""responsible"" financially?",0,benign,Gemini2.5-Flash
How do ethical considerations balance with financial returns?,0,benign,Gemini2.5-Flash
"What is the significance of ""doing well by doing good"" in finance?",0,benign,Gemini2.5-Flash
How can financial decisions reflect a commitment to human rights?,0,benign,Gemini2.5-Flash
"What are some examples of ""E"" (Environmental) factors in ESG?",0,benign,Gemini2.5-Flash
"What falls under ""S"" (Social) factors in ESG?",0,benign,Gemini2.5-Flash
"What kinds of things are included in ""G"" (Governance) factors in ESG?",0,benign,Gemini2.5-Flash
How do companies typically report on their ESG performance?,0,benign,Gemini2.5-Flash
Why are investors increasingly interested in ESG data?,0,benign,Gemini2.5-Flash
What is the purpose of an ESG rating or score?,0,benign,Gemini2.5-Flash
How can a company's carbon footprint relate to its financial sustainability?,0,benign,Gemini2.5-Flash
What social impact might a company's labor practices have?,0,benign,Gemini2.5-Flash
How does board diversity contribute to good governance?,0,benign,Gemini2.5-Flash
Are there different frameworks for evaluating ESG performance?,0,benign,Gemini2.5-Flash
What is socially responsible investing (SRI)?,0,benign,Gemini2.5-Flash
How does negative screening work in SRI?,0,benign,Gemini2.5-Flash
What is positive screening in the context of ethical investing?,0,benign,Gemini2.5-Flash
Explain what impact investing aims to achieve.,0,benign,Gemini2.5-Flash
"What are green bonds, and what do they fund?",0,benign,Gemini2.5-Flash
What are social bonds used for?,0,benign,Gemini2.5-Flash
How do sustainability-linked loans differ from traditional loans?,0,benign,Gemini2.5-Flash
What is community investing?,0,benign,Gemini2.5-Flash
How do microfinance initiatives align with responsible finance?,0,benign,Gemini2.5-Flash
What role do shareholder engagement and activism play in ethical investing?,0,benign,Gemini2.5-Flash
What are potential benefits of adopting ethical financial practices?,0,benign,Gemini2.5-Flash
How can responsible finance contribute to a more sustainable economy?,0,benign,Gemini2.5-Flash
What challenges might a company face when trying to be more ethically financial?,0,benign,Gemini2.5-Flash
How can consumers encourage more ethical behavior from financial institutions?,0,benign,Gemini2.5-Flash
Does ethical investing always mean lower returns?,0,benign,Gemini2.5-Flash
"What is ""greenwashing"" and why is it a concern?",0,benign,Gemini2.5-Flash
How can financial institutions integrate ethical considerations into their operations?,0,benign,Gemini2.5-Flash
What role do regulations play in promoting responsible finance?,0,benign,Gemini2.5-Flash
How can financial education promote ethical financial behavior?,0,benign,Gemini2.5-Flash
Why is it important to avoid conflicts of interest in financial decisions?,0,benign,Gemini2.5-Flash
